"Gender","Age","Status","Income","Frequency","Method","timepervisit","nearest","membership","fequencyofpurchase","spending","comparerate","pricerate","promotion","rateambiance","Wifi","rateservice","situational","source","loyalty"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Between 30 minutes to 1 hour","within 1km","Yes","Coffee","Less than RM20",4,3,5,5,4,4,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","1km - 3km","Yes","Cold drinks;Pastries","Less than RM20",4,3,4,4,4,5,2,"Social Media;In Store displays","Yes"
"Male","From 20 to 29","Employed","Less than RM25,000","Monthly","Dine in","Between 30 minutes to 1 hour","more than 3km","Yes","Coffee","Less than RM20",4,3,4,4,4,4,3,"In Store displays;Billboards","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Coffee","Less than RM20",2,1,4,3,3,3,3,"Through friends and word of mouth","No"
"Male","From 20 to 29","Student","Less than RM25,000","Monthly","Take away","Between 30 minutes to 1 hour","1km - 3km","No","Coffee;Sandwiches","Around RM20 - RM40",3,3,4,2,2,3,3,"Starbucks Website/Apps;Social Media","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No","Cold drinks","Less than RM20",4,3,5,5,4,5,4,"Social Media","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Below 30 minutes","within 1km","Yes","Coffee","Around RM20 - RM40",5,5,5,5,3,5,5,"Starbucks Website/Apps;Social Media","Yes"
"Male","From 20 to 29","Employed","RM50,000 - RM100,000","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","Yes","Coffee;Cold drinks","Less than RM20",4,2,3,3,3,3,3,"Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Drive-thru","Below 30 minutes","more than 3km","Yes","Cold drinks","More than RM40",5,4,4,4,4,4,4,"Starbucks Website/Apps;Social Media;Through friends and word of mouth","Yes"
"Male","From 20 to 29","Employed","Less than RM25,000","Monthly","Take away","Below 30 minutes","more than 3km","No","Coffee","Around RM20 - RM40",4,3,3,4,3,3,4,"Social Media;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Below 30 minutes","more than 3km","No","Cold drinks","Less than RM20",4,1,4,5,3,3,4,"Social Media","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No","Coffee","Less than RM20",3,2,4,4,3,4,4,"Starbucks Website/Apps;Social Media;Through friends and word of mouth","No"
"Female","From 20 to 29","Student","Less than RM25,000","Weekly","Take away","Below 30 minutes","1km - 3km","Yes","Coffee;Sandwiches","Around RM20 - RM40",4,3,2,4,4,3,4,"Social Media","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","1km - 3km","Yes","Coffee","Less than RM20",4,3,4,4,4,4,3,"Social Media","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","within 1km","Yes","Coffee","Less than RM20",5,2,5,5,5,5,2,"Social Media;Through friends and word of mouth;In Store displays","No"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Take away","Between 30 minutes to 1 hour","more than 3km","Yes","Coffee","Less than RM20",4,1,5,4,3,4,4,"Starbucks Website/Apps","No"
"Male","From 30 to 39","Employed","RM50,000 - RM100,000","Monthly","Drive-thru","Below 30 minutes","within 1km","Yes","Coffee","Around RM20 - RM40",4,3,3,4,3,3,3,"Social Media","Yes"
"Male","From 20 to 29","Employed","Less than RM25,000","Rarely","Dine in","Below 30 minutes","within 1km","Yes","Coffee","Less than RM20",4,4,4,4,4,4,4,"Social Media;Through friends and word of mouth","Yes"
"Male","From 20 to 29","Employed","RM25,000 - RM50,000","Weekly","Take away","Below 30 minutes","1km - 3km","Yes","Coffee","Around RM20 - RM40",4,3,4,5,5,5,5,"Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Self-employed","RM50,000 - RM100,000","Rarely","Take away","Below 30 minutes","1km - 3km","Yes","Cold drinks","Less than RM20",3,4,3,4,3,4,2,"Emails","Yes"
"Male","From 30 to 39","Employed","RM100,000 - RM150,000","Rarely","Take away","Below 30 minutes","within 1km","Yes","Coffee","Around RM20 - RM40",2,2,5,3,3,4,3,"Social Media;Emails","No"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Dine in","Below 30 minutes","within 1km","No","Coffee","Around RM20 - RM40",5,3,4,3,3,4,5,"Social Media","Yes"
"Male","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Dine in","More than 3 hours","within 1km","No","Coffee","Less than RM20",5,2,5,5,2,4,3,"Through friends and word of mouth","No"
